Aach;54298;651;Rheinland-Pfalz
Aach;78267;7774;Baden-Württemberg
Aachen;52062;241;Nordrhein-Westfalen
Aachen;52064;241;Nordrhein-Westfalen
Aachen;52066;241;Nordrhein-Westfalen
Aachen;52068;241;Nordrhein-Westfalen
Aachen;52070;241;Nordrhein-Westfalen
Aachen;52072;241;Nordrhein-Westfalen
Aachen;52074;241;Nordrhein-Westfalen
Aachen;52076;241;Nordrhein-Westfalen
Aachen;52078;241;Nordrhein-Westfalen
Aachen;52080;241;Nordrhein-Westfalen
Aalen;73430;7361;Baden-Württemberg
Aalen;73431;7361;Baden-Württemberg
Aalen;73432;7361;Baden-Württemberg
Aalen;73433;7361;Baden-Württemberg
Aalen;73434;7361;Baden-Württemberg
Aarbergen;65326;6120;Hessen
Aasbüttel;25560;4892;Schlewig-Holstein
Abbau Ader;29416;;Sachsen-Anhalt
Abbendorf;19322;38791;Brandenburg
Abbenrode;38871;39452;Sachsen-Anhalt
Abberode;6543;34779;Sachsen-Anhalt
Abenberg;91183;9178;Bayern
Abend;1623;35246;Sachsen
Abensberg;93326;9443;Bayern
Abentheuer;55767;6782;Rheinland-Pfalz
Abraham;94036;;Bayern
Absberg;91720;9175;Bayern
Abstatt;74232;7062;Baden-Württemberg
Abtlöbnitz;6628;34466;Sachsen-Anhalt
Abtsbessingen;99713;36020;Thüringen
Abtsdorf;6888;3491;Sachsen-Anhalt
Abtsgmünd;73453;7366;Baden-Württemberg
Abtsteinach;69518;6207;Hessen
Abtswind;97355;9383;Bayern
Abtweiler;55568;6753;Rheinland-Pfalz
Achberg;88147;8380;Baden-Württemberg
Achen;83552;8075;Bayern
Achern;77855;7841;Baden-Württemberg
Achim;28832;4202;Niedersachsen
Achim;38312;5334;Niedersachsen
Achslach;94250;9929;Bayern
Achstetten;88480;7392;Baden-Württemberg
Acht;56729;2656;Rheinland-Pfalz
Achtelsbach;55767;6782;Rheinland-Pfalz
Achterspannerhof;56299;;Rheinland-Pfalz
Achterwehr;24239;4340;Schlewig-Holstein
Achtrup;25917;4662;Schlewig-Holstein
Ackendorf;39343;39202;Sachsen-Anhalt
Ackermannshof;16259;33451;Brandenburg
Adamshoffnung;17213;39932;Mecklenburg-Vorpommern
Addebüll;25842;4672;Schlewig-Holstein
Adelberg;73099;7166;Baden-Württemberg
Adelebsen;37139;5506;Niedersachsen
Adelhausen;98646;3685;Thüringen
Adelheidsdorf;29352;5085;Niedersachsen
Adelmannsfelden;73486;7963;Baden-Württemberg
Adelschlag;85111;8421;Bayern
Adelsdorf;1561;3522;Sachsen
Adelsdorf;91325;9195;Bayern
Adelsheim;74740;6291;Baden-Württemberg
Adelshofen;82276;8146;Bayern
Adelshofen;91587;9865;Bayern
Adelsried;86477;8294;Bayern
Adelzhausen;86559;8258;Bayern
Adenau;53518;2691;Rheinland-Pfalz
Adenbach;67742;6753;Rheinland-Pfalz
Adenbüttel;38528;5304;Niedersachsen
Adendorf;21365;4131;Niedersachsen
Adenstedt;31079;5060;Niedersachsen
Aderstedt;6408;3471;Sachsen-Anhalt
Aderstedt;38838;39428;Sachsen-Anhalt
Adlersteige;73479;7961;Baden-Württemberg
Adligstadt;83364;8666;Bayern
Adlkofen;84166;8707;Bayern
Adlkofen;84166;8707;Bayern
Admannshagen-Bargeshagen;18211;38203;Mecklenburg-Vorpommern
Adorf;8626;37423;Sachsen
Aebtissinwisch;25572;4825;Schlewig-Holstein
Aerzen;31855;5154;Niedersachsen
Affalterbach;71563;7144;Baden-Württemberg
Affing;86444;8207;Bayern
Affinghausen;27257;4247;Niedersachsen
Affler;54689;6524;Rheinland-Pfalz
Aftholderbach;56355;6772;Rheinland-Pfalz
Agathenburg;21684;4141;Niedersachsen
Agethorst;25560;4892;Schlewig-Holstein
Aglasterhausen;74858;6262;Baden-Württemberg
Aham;84168;8744;Bayern
Ahaus;48683;2561;Nordrhein-Westfalen
Ahausen;27367;4269;Niedersachsen
Ahlbeck;17375;39775;Mecklenburg-Vorpommern
Ahlden;29693;5164;Niedersachsen
Ahlefeld;24811;4353;Schlewig-Holstein
Ahlen;59227;2382;Nordrhein-Westfalen
Ahlen;59229;2382;Nordrhein-Westfalen
Ahlerstedt;21702;4166;Niedersachsen
Ahlsdorf;4916;35362;Brandenburg
Ahlsdorf;6313;34772;Sachsen-Anhalt
Ahlstädt;98553;36873;Thüringen
Ahlum;38489;39007;Sachsen-Anhalt
Ahnatal;34292;5609;Hessen
Ahneby;24996;4637;Schlewig-Holstein
Ahnsbeck;29353;5145;Niedersachsen
Ahnsen;31708;5722;Niedersachsen
Aholfing;94345;9429;Bayern
Aholming;94527;9938;Bayern
Ahorn;74744;6296;Baden-Württemberg
Ahorn;96482;9561;Bayern
Ahorntal;95491;9202;Bayern
Ahrain;83739;8025;Bayern
Ahrbrück;53506;2643;Rheinland-Pfalz
Ahrensbök;23623;4525;Schlewig-Holstein
Ahrensburg;22926;4102;Schlewig-Holstein
Ahrensdorf;14974;3378;Brandenburg
Ahrensdorf;15864;33677;Brandenburg
Ahrensfelde;16356;30;Brandenburg
Ahrenshagen;18320;38225;Mecklenburg-Vorpommern
Ahrenshöft;25853;4846;Schlewig-Holstein
Ahrenstedt;24787;;Schlewig-Holstein
Ahrenviöl;25885;4847;Schlewig-Holstein
Ahrenviölfeld;25885;4626;Schlewig-Holstein
Aicha;94529;8544;Bayern
Aichach;86551;8251;Bayern
Aichat;83565;8092;Bayern
Aichberg;83329;8681;Bayern
Aichelberg;73101;7164;Baden-Württemberg
Aichen;86479;8284;Bayern
Aichhalden;78733;7422;Baden-Württemberg
Aichstetten;88317;7565;Baden-Württemberg
Aichtal;72631;7127;Baden-Württemberg
Aichwald;73773;711;Baden-Württemberg
Aichwies;83329;8681;Bayern
Aidenbach;94501;8543;Bayern
Aidhausen;97491;9526;Bayern
Aidlingen;71134;7034;Baden-Württemberg
Aiglsbach;84089;8753;Bayern
Ailertchen;56459;2663;Rheinland-Pfalz
Aindling;86447;8237;Bayern
Ainring;83404;8654;Bayern
Aislingen;89344;9075;Bayern
Aiterhofen;94330;9421;Bayern
Aitern;79677;7673;Baden-Württemberg
Aiteröd;84137;8741;Bayern
Aitrach;88319;7565;Baden-Württemberg
Aitrang;87648;8343;Bayern
Aitzendorf;9326;37382;Sachsen
Aken;6385;34909;Sachsen-Anhalt
Alach;99100;361;Thüringen
Alach;99100;361;Thüringen
Albaching;83544;8076;Bayern
Albbruck;79774;7753;Baden-Württemberg
Albernhof;93449;9978;Bayern
Albersdorf;7646;36692;Thüringen
Albersdorf;25767;4835;Schlewig-Holstein
Albershausen;73095;7161;Baden-Württemberg
Albersroda;6268;34632;Sachsen-Anhalt
Alberstedt;6279;34774;Sachsen-Anhalt
Albersweiler;76857;6345;Rheinland-Pfalz
Alberthofen;57614;2684;Rheinland-Pfalz
Albertinenhof;16818;33925;Brandenburg
Albertinenhof;19260;38848;Mecklenburg-Vorpommern
Albertshofen;97320;9321;Bayern
Albessen;66871;6384;Rheinland-Pfalz
Albig;55234;6731;Rheinland-Pfalz
Albisheim;67308;6355;Rheinland-Pfalz
Albrechts;98529;3681;Thüringen
